Tempo;Empuxo;Temperatura;Pressao
0.0;9.9081;31.0;7.33
0.102;161.9631;31.0;111.19
0.205;456.3612;31.0;134.41
0.308;591.9354;31.0;163.73
0.411;729.9621;31.0;183.28
0.513;845.9163;31.0;213.83
0.615;960.7914;31.0;245.6
0.719;1117.0647;31.25;281.04
0.855;1412.8362;31.25;323.8
0.957;1569.0114;31.25;365.35
1.06;1767.4677;31.25;425.22
1.163;1999.4742;31.25;486.31
1.266;2608.8714;31.25;514.42
1.368;2874.4281;31.25;535.19
1.471;3037.2741;31.25;548.63
1.574;3160.9782;31.25;566.96
1.676;3252.8979;31.25;577.96
1.779;3407.7978;31.0;581.62
1.916;3470.778;31.0;585.29
2.018;3509.2332;31.0;574.29
2.121;3538.0746;31.0;544.97
2.224;3462.2433;31.0;483.87
2.326;3278.1096;31.0;472.87
2.429;3004.4106;31.0;459.43
2.531;2814.1947;31.0;454.55
2.635;2767.4991;31.0;445.99
2.737;2734.5375;31.0;430.11
2.84;2702.4588;31.25;386.12
2.976;2480.8509;31.25;361.68
3.079;2315.2581;31.25;338.46
3.182;2183.9022;31.25;311.58
3.284;2059.8057;31.25;287.15
3.387;1762.857;31.25;267.59
3.49;1631.2068;31.25;249.27
3.592;1518.2937;31.25;235.83
3.695;1425.393;31.25;228.49
3.798;1356.2325;31.25;221.16
3.9;1261.7622;31.0;206.5
4.037;1208.592;31.0;190.62
4.139;1149.9282;31.0;172.29
4.242;1001.2086;31.0;162.51
4.345;918.216;31.0;151.51
4.447;856.8054;31.0;146.63
4.551;808.5402;31.0;140.52
4.653;779.2083;31.0;134.41
4.755;715.4433;31.0;128.3
4.858;684.9342;31.0;113.64
4.96;655.9947;32.0;90.42
5.097;540.3348;32.0;73.31
5.2;454.5954;32.0;54.98
5.302;374.6439;32.0;42.77
5.405;302.7366;32.0;30.55
5.507;189.2349;32.0;21.99
5.609;141.264;32.0;15.88
5.713;105.5556;32.0;13.44
5.815;83.9736;32.0;8.55
5.918;69.2586;32.0;6.11
6.02;49.2462;32.25;4.89
6.156;43.164;32.25;3.67
6.259;38.259;32.25;3.67
6.361;30.2148;32.25;2.44
6.463;27.5661;32.25;1.22
6.566;25.0155;32.25;1.22
6.668;22.0725;32.25;1.22
6.771;20.0124;32.25;-0.0
6.874;15.9903;32.25;-0.0
6.976;14.1264;32.25;-0.0
7.079;12.0663;32.25;-1.22
7.215;10.2024;32.25;-0.0
7.317;10.3986;32.25;-1.22
7.42;10.3986;32.25;-1.22
7.522;9.81;32.25;-0.0
7.625;9.5157;32.25;-1.22
7.727;9.3195;32.25;-0.0
