Data;Hora;Empuxo;Tempo
6/9/2024;8:15:13;0.379;8480
6/9/2024;8:15:13;0.847;8490
6/9/2024;8:15:13;1.265;8500
6/9/2024;8:15:13;1.636;8510
6/9/2024;8:15:13;1.999;8520
6/9/2024;8:15:13;2.338;8530
6/9/2024;8:15:13;2.681;8540
6/9/2024;8:15:13;3.041;8550
6/9/2024;8:15:13;3.392;8560
6/9/2024;8:15:14;3.738;8570
6/9/2024;8:15:14;4.122;8580
6/9/2024;8:15:14;4.539;8590
6/9/2024;8:15:14;4.903;8600
6/9/2024;8:15:14;5.269;8610
6/9/2024;8:15:14;5.493;8620
6/9/2024;8:15:14;5.471;8630
6/9/2024;8:15:14;4.898;8640
6/9/2024;8:15:14;3.171;8650
6/9/2024;8:15:14;1.203;8660
6/9/2024;8:15:15;0.287;8670
