Data;Hora;Empuxo;Tempo
6/9/2024;8:15:13;3.718;0.0
6/9/2024;8:15:13;8.3091;0.1
6/9/2024;8:15:13;12.4096;0.2
6/9/2024;8:15:13;16.0492;0.3
6/9/2024;8:15:13;19.6102;0.4
6/9/2024;8:15:13;22.9358;0.5
6/9/2024;8:15:13;26.3006;0.6
6/9/2024;8:15:13;29.8322;0.7
6/9/2024;8:15:13;33.2755;0.8
6/9/2024;8:15:14;36.6698;0.9
6/9/2024;8:15:14;40.4368;1.0
6/9/2024;8:15:14;44.5276;1.1
6/9/2024;8:15:14;48.0984;1.2
6/9/2024;8:15:14;51.6889;1.3
6/9/2024;8:15:14;53.8863;1.4
6/9/2024;8:15:14;53.6705;1.5
6/9/2024;8:15:14;48.0494;1.6
6/9/2024;8:15:14;31.1075;1.7
6/9/2024;8:15:14;11.8014;1.8
6/9/2024;8:15:15;2.8155;1.9
