Data;Hora;Empuxo;Tempo
12-11-2024;10-29-58;0.0883;0.0
12-11-2024;10-29-58;0.1864;0.027
12-11-2024;10-29-58;0.2747;0.087
12-11-2024;10-29-58;0.3139;0.182
12-11-2024;10-29-58;0.3434;0.275
12-11-2024;10-29-58;0.363;0.384
12-11-2024;10-29-58;0.3826;0.536
12-11-2024;10-29-58;0.4022;0.561
12-11-2024;10-29-58;0.4218;0.653
12-11-2024;10-29-58;0.4414;0.747
12-11-2024;10-29-59;0.4611;0.841
12-11-2024;10-29-59;0.4709;0.935
12-11-2024;10-29-59;0.4905;1.03
12-11-2024;10-29-59;0.5003;1.123
12-11-2024;10-29-59;0.5199;1.218
12-11-2024;10-29-59;0.5494;1.312
12-11-2024;10-29-59;0.5494;1.406
12-11-2024;10-29-59;0.5396;1.5
12-11-2024;10-29-59;0.5396;1.595
12-11-2024;10-29-59;0.5297;1.688
12-11-2024;10-30-0;0.5297;1.783
12-11-2024;10-30-0;0.5297;1.88
12-11-2024;10-30-0;0.5199;1.973
12-11-2024;10-30-0;0.5101;2.064
12-11-2024;10-30-0;0.5101;2.181
12-11-2024;10-30-0;0.4905;2.326
12-11-2024;10-30-0;0.5003;2.351
12-11-2024;10-30-0;0.5003;2.443
12-11-2024;10-30-0;0.4807;2.537
12-11-2024;10-30-0;0.4807;2.631
12-11-2024;10-30-0;0.4807;2.725
12-11-2024;10-30-1;0.4807;2.82
12-11-2024;10-30-1;0.4709;2.913
12-11-2024;10-30-1;0.4611;3.008
12-11-2024;10-30-1;0.4316;3.102
12-11-2024;10-30-1;0.412;3.196
12-11-2024;10-30-1;0.3924;3.29
12-11-2024;10-30-1;0.3728;3.385
12-11-2024;10-30-1;0.3237;3.481
12-11-2024;10-30-1;0.3041;3.593
12-11-2024;10-30-1;0.3237;3.739
12-11-2024;10-30-1;0.3139;3.764
12-11-2024;10-30-2;0.2845;3.856
12-11-2024;10-30-2;0.2649;3.95
12-11-2024;10-30-2;0.2453;4.044
12-11-2024;10-30-2;0.2551;4.138
12-11-2024;10-30-2;0.2551;4.233
12-11-2024;10-30-2;0.2453;4.327
12-11-2024;10-30-2;0.2354;4.421
12-11-2024;10-30-2;0.2158;4.515
12-11-2024;10-30-2;0.1962;4.61
