Data;Hora;Empuxo;Tempo
10/10/2024;16:23:1;0.019620000000000002;0.0
10/10/2024;16:23:2;0.019620000000000002;0.047
10/10/2024;16:23:2;0.02943;0.083
10/10/2024;16:23:2;0.02943;0.18
10/10/2024;16:23:2;0.009810000000000001;0.271
10/10/2024;16:23:2;0.0;0.368
10/10/2024;16:23:2;-0.019620000000000002;0.459
10/10/2024;16:23:2;-0.04905;0.556
10/10/2024;16:23:2;-0.07848000000000001;0.647
10/10/2024;16:23:2;-0.07848000000000001;0.745
10/10/2024;16:23:2;-0.06867000000000001;0.836
10/10/2024;16:23:2;-0.04905;0.933
10/10/2024;16:23:3;-0.02943;1.024
10/10/2024;16:23:3;-0.019620000000000002;1.121
10/10/2024;16:23:3;-0.009810000000000001;1.212
10/10/2024;16:23:3;-0.009810000000000001;1.309
10/10/2024;16:23:3;-0.009810000000000001;1.4
10/10/2024;16:23:3;-0.009810000000000001;1.498
10/10/2024;16:23:3;-0.009810000000000001;1.593
10/10/2024;16:23:3;-0.019620000000000002;1.683
10/10/2024;16:23:3;-0.02943;1.777
10/10/2024;16:23:3;-0.02943;1.871
10/10/2024;16:23:3;-0.02943;1.966
10/10/2024;16:23:4;-0.02943;2.059
10/10/2024;16:23:4;-0.02943;2.154
10/10/2024;16:23:4;-0.02943;2.248
10/10/2024;16:23:4;-0.02943;2.342
10/10/2024;16:23:4;-0.02943;2.436
10/10/2024;16:23:4;-0.02943;2.53
10/10/2024;16:23:4;-0.02943;2.624
10/10/2024;16:23:4;-0.02943;2.719
10/10/2024;16:23:4;-0.02943;2.812
10/10/2024;16:23:4;-0.02943;2.907
10/10/2024;16:23:4;-0.02943;3.0
10/10/2024;16:23:5;-0.02943;3.099
10/10/2024;16:23:5;-0.02943;3.187
10/10/2024;16:23:5;-0.02943;3.285
10/10/2024;16:23:5;-0.02943;3.375
10/10/2024;16:23:5;-0.02943;3.473
10/10/2024;16:23:5;-0.02943;3.564
10/10/2024;16:23:5;-0.02943;3.661
10/10/2024;16:23:5;-0.02943;3.752
10/10/2024;16:23:5;-0.02943;3.849
10/10/2024;16:23:5;-0.02943;3.94
10/10/2024;16:23:6;-0.02943;4.037
10/10/2024;16:23:6;-0.02943;4.128
10/10/2024;16:23:6;-0.019620000000000002;4.226
10/10/2024;16:23:6;-0.019620000000000002;4.317
10/10/2024;16:23:6;-0.02943;4.414
10/10/2024;16:23:6;-0.02943;4.505
10/10/2024;16:23:6;-0.02943;4.602
10/10/2024;16:23:6;-0.02943;4.698
10/10/2024;16:23:6;-0.02943;4.788
10/10/2024;16:23:6;-0.02943;4.883
10/10/2024;16:23:6;-0.02943;4.977
10/10/2024;16:23:7;-0.02943;5.071
10/10/2024;16:23:7;-0.019620000000000002;5.165
10/10/2024;16:23:7;-0.019620000000000002;5.259
10/10/2024;16:23:7;-0.019620000000000002;5.353
10/10/2024;16:23:7;-0.019620000000000002;5.448
10/10/2024;16:23:7;-0.019620000000000002;5.541
10/10/2024;16:23:7;-0.02943;5.636
10/10/2024;16:23:7;-0.02943;5.73
10/10/2024;16:23:7;-0.019620000000000002;5.824
10/10/2024;16:23:7;-0.02943;5.918
10/10/2024;16:23:7;-0.02943;6.012
