Data;Hora;Empuxo;Tempo
12-11-2024;10-11-23;0.0883;0.0
12-11-2024;10-11-23;0.1668;0.094
12-11-2024;10-11-23;0.4709;0.189
12-11-2024;10-11-23;0.5199;0.283
12-11-2024;10-11-23;0.4218;0.377
12-11-2024;10-11-23;0.3826;0.474
12-11-2024;10-11-23;0.3728;0.579
12-11-2024;10-11-24;0.3532;0.732
12-11-2024;10-11-24;0.3434;0.756
12-11-2024;10-11-24;0.363;0.849
12-11-2024;10-11-24;0.363;0.942
12-11-2024;10-11-24;0.3728;1.037
12-11-2024;10-11-24;0.3826;1.131
12-11-2024;10-11-24;0.3924;1.226
12-11-2024;10-11-24;0.412;1.319
12-11-2024;10-11-24;0.3924;1.414
12-11-2024;10-11-24;0.3728;1.508
12-11-2024;10-11-24;0.3728;1.603
12-11-2024;10-11-25;0.363;1.696
12-11-2024;10-11-25;0.3532;1.791
12-11-2024;10-11-25;0.3237;1.885
12-11-2024;10-11-25;0.3139;2.002
12-11-2024;10-11-25;0.3237;2.146
12-11-2024;10-11-25;0.3237;2.17
12-11-2024;10-11-25;0.3237;2.262
12-11-2024;10-11-25;0.363;2.356
12-11-2024;10-11-25;0.3728;2.451
12-11-2024;10-11-25;0.3728;2.544
12-11-2024;10-11-26;0.363;2.639
12-11-2024;10-11-26;0.3434;2.733
12-11-2024;10-11-26;0.3335;2.828
12-11-2024;10-11-26;0.3335;2.921
12-11-2024;10-11-26;0.3335;3.016
12-11-2024;10-11-26;0.3335;3.11
12-11-2024;10-11-26;0.2256;3.205
12-11-2024;10-11-26;0.1079;3.298
