Data;Hora;Empuxo;Tempo
12-11-2024;10-21-41;0.0981;0.0
12-11-2024;10-21-41;0.206;0.095
12-11-2024;10-21-41;0.3335;0.189
12-11-2024;10-21-41;0.412;0.284
12-11-2024;10-21-41;0.4611;0.377
12-11-2024;10-21-41;0.5003;0.472
12-11-2024;10-21-41;0.5297;0.566
12-11-2024;10-21-41;0.5494;0.661
12-11-2024;10-21-41;0.569;0.754
12-11-2024;10-21-41;0.5886;0.849
12-11-2024;10-21-41;0.5984;0.943
12-11-2024;10-21-42;0.5984;1.06
12-11-2024;10-21-42;0.6278;1.204
12-11-2024;10-21-42;0.6573;1.227
12-11-2024;10-21-42;0.6671;1.32
12-11-2024;10-21-42;0.6867;1.414
12-11-2024;10-21-42;0.7259;1.509
12-11-2024;10-21-42;0.7554;1.602
12-11-2024;10-21-42;0.7848;1.697
12-11-2024;10-21-42;0.7946;1.791
12-11-2024;10-21-42;0.8044;1.885
12-11-2024;10-21-42;0.8339;1.979
12-11-2024;10-21-43;0.8829;2.074
12-11-2024;10-21-43;0.8927;2.168
12-11-2024;10-21-43;0.9025;2.262
12-11-2024;10-21-43;0.9025;2.356
12-11-2024;10-21-43;0.9123;2.451
12-11-2024;10-21-43;0.9123;2.547
12-11-2024;10-21-43;0.9123;2.652
12-11-2024;10-21-43;0.8731;2.806
12-11-2024;10-21-43;0.8535;2.829
12-11-2024;10-21-43;0.8731;2.922
12-11-2024;10-21-44;0.8829;3.016
12-11-2024;10-21-44;0.8731;3.111
12-11-2024;10-21-44;0.8633;3.204
12-11-2024;10-21-44;0.8535;3.299
12-11-2024;10-21-44;0.8437;3.393
12-11-2024;10-21-44;0.7946;3.487
12-11-2024;10-21-44;0.6965;3.581
12-11-2024;10-21-44;0.5886;3.676
12-11-2024;10-21-44;0.5199;3.769
12-11-2024;10-21-44;0.4709;3.864
12-11-2024;10-21-44;0.4218;3.958
12-11-2024;10-21-45;0.3532;4.075
12-11-2024;10-21-45;0.3335;4.219
12-11-2024;10-21-45;0.3139;4.242
12-11-2024;10-21-45;0.2943;4.335
12-11-2024;10-21-45;0.2845;4.429
12-11-2024;10-21-45;0.2747;4.524
12-11-2024;10-21-45;0.2747;4.618
12-11-2024;10-21-45;0.2649;4.712
